Test name                                ,#,Average,First ,Max   ,Min   ,Std.Dev,Comment        
Big int custom HT: 1 Adding items        ,5,  0.396, 0.483, 0.483, 0.343,  0.052,               
Big int custom HT: 2 Running queries     ,5,  0.081, 0.094, 0.094, 0.078,  0.007,50% misses     
Big int custom HT: 3 Removing items      ,5,  0.134, 0.125, 0.141, 0.125,  0.008,5000000 removed
Big int hashtable: 1 Adding items        ,5,  3.489, 3.370, 3.604, 3.308,  0.140,               
Big int hashtable: 2 Running queries     ,5,  0.583, 0.530, 0.655, 0.530,  0.054,50% misses     
Big int hashtable: 3 Removing items      ,5,  1.847, 1.763, 1.981, 1.763,  0.092,5000000 removed
Big int sorted map: 1 Adding items       ,5,  2.961, 2.933, 3.010, 2.933,  0.030,               
Big int sorted map: 2 Running queries    ,5,  0.805, 0.780, 0.827, 0.780,  0.018,50% misses     
Big int sorted map: 3 Removing items     ,5,  1.956, 1.950, 1.966, 1.950,  0.009,5000000 removed
Big string custom HT: 0 Ints to strings  ,5,  1.142, 1.123, 1.170, 1.123,  0.026,               
Big string custom HT: 1 Adding/setting   ,5,  7.073, 7.987, 7.987, 6.614,  0.529,               
Big string custom HT: 2 Running queries  ,5,  3.033, 2.933, 3.214, 2.917,  0.139,50% misses     
Big string custom HT: 3 Removing items   ,5,  4.499, 4.399, 4.695, 4.368,  0.147,5000000 removed
Big string hashtable: 0 Ints to strings  ,5,  1.132, 1.139, 1.139, 1.123,  0.009,               
Big string hashtable: 1 Adding/setting   ,5, 11.145,11.138,11.185,11.108,  0.039,               
Big string hashtable: 2 Running queries  ,5,  3.460, 3.448, 3.494, 3.447,  0.020,50% misses     
Big string hashtable: 3 Removing items   ,5,  4.452, 4.446, 4.462, 4.446,  0.009,5000000 removed
Generic sum: double                      ,5,  0.044, 0.047, 0.047, 0.031,  0.007,    89239683200
Generic sum: FPI8                        ,5,  0.044, 0.047, 0.047, 0.031,  0.007,    89239683200
Generic sum: int                         ,5,  0.044, 0.047, 0.047, 0.031,  0.007,    89239683200
Generic sum: int without template        ,5,  0.047, 0.046, 0.047, 0.046,  0.000,    89239683200
Matrix multiply: <double>[n*n]           ,5,  1.491, 1.420, 1.560, 1.388,  0.082,-95583583333300
Matrix multiply: <float>[n*n]            ,5,  3.341, 3.338, 3.354, 3.338,  0.007,-95583582814208
Matrix multiply: <int>[n*n]              ,5,  1.095, 1.108, 1.108, 1.076,  0.013,      913839180
Matrix multiply: double[n*n]             ,5,  1.466, 1.435, 1.545, 1.388,  0.073,     -95.583583
Polynomials                              ,5,  9.841, 9.797, 9.875, 9.797,  0.030,21677722.000000
Simple arithmetic: double                ,5,  2.979, 2.995, 2.995, 2.964,  0.011,               
Simple arithmetic: float                 ,5,  0.652, 0.640, 0.656, 0.640,  0.007,               
Simple arithmetic: FPI8                  ,5,  0.430, 0.437, 0.437, 0.421,  0.008,               
Simple arithmetic: FPL16                 ,5,  2.225, 2.215, 2.231, 2.215,  0.008,               
Simple arithmetic: Int                   ,5,  0.331, 0.327, 0.343, 0.327,  0.007,               
Simple arithmetic: Int64                 ,5,  1.575, 1.576, 1.576, 1.575,  0.000,               
Simple parsing: 1 Read to end (FILE* x20),5,  0.019, 0.015, 0.031, 0.015,  0.007,               
Simple parsing: 1 Read to end (ifstr.x20),5,  0.031, 0.032, 0.032, 0.031,  0.001,               
Simple parsing: 2 Read lines (FILE* x20) ,5,  0.193, 0.187, 0.203, 0.187,  0.009,               
Simple parsing: 2 Read lines (ifstr.x20) ,5,  0.446, 0.453, 0.453, 0.437,  0.009,               
Simple parsing: 3 Parse (x20)            ,5,  0.231, 0.234, 0.234, 0.218,  0.007,               
Simple parsing: 4 Sort (x20)             ,5,  0.552, 0.546, 0.562, 0.531,  0.014,               
Square root: double                      ,5,  0.109, 0.110, 0.110, 0.109,  0.001,               
Square root: FPL16                       ,5,  1.782, 1.778, 1.794, 1.778,  0.007,               
Square root: uint32                      ,5,  0.343, 0.343, 0.344, 0.343,  0.001,               
Square root: uint64                      ,5,  0.680, 0.671, 0.687, 0.670,  0.009,               
Sudoku                                   ,5,  2.324, 2.309, 2.340, 2.309,  0.011,20x100 puzzles 
