Test name                               ,#,Average,First,Max  ,Min  ,Std.Dev,Comment
Big int Dictionary: 1 Adding/setting    ,5,  0.393,0.468,0.468,0.374,  0.042,               
Big int Dictionary: 2 Running queries   ,5,  0.253,0.249,0.266,0.249,  0.007,75% misses
Big int Dictionary: 3 Removing          ,5,  0.265,0.265,0.265,0.265,  0.000,2500000 removed
Big string Dictionary: 0 Ints to strings,3,  1.243,1.279,1.279,1.217,  0.032,               
Big string Dictionary: 1 Adding/setting ,3,  4.191,4.290,4.305,3.978,  0.185,               
Big string Dictionary: 2 Running queries,3,  2.194,2.199,2.200,2.184,  0.009,75% misses
Big string Dictionary: 3 Removing       ,3,  2.184,2.184,2.200,2.169,  0.016,2500000 removed
Generic sum: double                     ,6,  1.651,1.701,1.701,1.638,  0.025,               
Generic sum: FPI8                       ,6,  2.673,2.698,2.698,2.652,  0.019,               
Generic sum: int                        ,6,  1.620,1.701,1.701,1.591,  0.040,               
Generic sum: int via IMath              ,6,  1.867,1.887,1.887,1.856,  0.012,               
Generic sum: int without generics       ,6,  1.136,1.139,1.139,1.123,  0.007,               
Simple arithmetic: double               ,6,  0.276,0.265,0.297,0.265,  0.013,               
Simple arithmetic: float                ,6,  0.112,0.125,0.125,0.109,  0.007,               
Simple arithmetic: FPI8                 ,6,  0.624,0.624,0.624,0.624,  0.000,               
Simple arithmetic: FPL16                ,6,  0.720,0.717,0.734,0.717,  0.007,               
Simple arithmetic: int                  ,6,  0.081,0.110,0.110,0.063,  0.015,               
Simple arithmetic: long                 ,6,  0.078,0.078,0.078,0.078,  0.000,               
Simple parsing: 1 Read to end (x20)     ,5,  0.087,0.234,0.234,0.047,  0.082,               
Simple parsing: 2 Read lines (x20)      ,5,  0.081,0.078,0.094,0.078,  0.007,               
Simple parsing: 3 Parse (x20)           ,5,  0.159,0.172,0.172,0.156,  0.007,               
Simple parsing: 4 Sort (x20)            ,5,  0.821,1.373,1.373,0.671,  0.309,               
Square root: double                     ,6,  0.068,0.063,0.078,0.062,  0.008,               
Square root: FPL16                      ,6,  4.334,4.321,4.415,4.305,  0.041,               
Square root: uint                       ,6,  1.594,1.606,1.606,1.591,  0.006,               
Square root: ulong                      ,6,  1.688,1.685,1.716,1.670,  0.015,               
