Test name                               , #,Average,First,Max  ,Min  ,Std.Dev,Comment
Big int Dictionary: 1 Adding items      , 8,  0.326,0.328,0.421,0.296,  0.039,               
Big int Dictionary: 2 Running queries   , 8,  0.244,0.234,0.296,0.234,  0.022,75% misses
Big int Dictionary: 3 Removing          , 8,  0.240,0.250,0.250,0.234,  0.008,2500000 removed
Big string Dictionary: 0 Ints to strings, 3,  1.201,1.201,1.202,1.201,  0.001,               
Big string Dictionary: 1 Adding/setting , 3,  4.025,4.009,4.072,3.993,  0.042,               
Big string Dictionary: 2 Running queries, 3,  2.106,2.106,2.106,2.106,  0.000,75% misses
Big string Dictionary: 3 Removing       , 3,  2.070,2.090,2.090,2.059,  0.018,2500000 removed
Generic sum: double                     ,10,  0.576,0.530,0.999,0.514,  0.149,               
Generic sum: FPI8                       ,10,  0.685,0.687,0.702,0.671,  0.009,               
Generic sum: int                        ,10,  0.582,0.561,0.904,0.530,  0.113,               
Generic sum: int via IMath              ,10,  0.875,0.827,1.279,0.827,  0.142,               
Generic sum: int without generics       ,10,  0.326,0.327,0.328,0.312,  0.005,               
P/Invoke: AddDoubles                    , 4,  0.406,0.406,0.406,0.405,  0.000,               
P/Invoke: AddDoublesIndirect            , 4,  4.189,4.134,4.259,4.134,  0.053,               
P/Invoke: AddDoublesIndirect w/o return , 4,  0.421,0.421,0.421,0.421,  0.000,               
P/Invoke: AddFourInts                   , 4,  0.406,0.405,0.406,0.405,  0.000,               
P/Invoke: AddInts                       , 4,  0.394,0.390,0.405,0.390,  0.008,               
P/Invoke: CharStringArgument            , 4,  5.019,5.070,5.101,4.914,  0.084,               
P/Invoke: GetPointY                     , 4,  0.390,0.405,0.405,0.374,  0.013,               
P/Invoke: GetPointYIndirect             , 4,  0.417,0.421,0.421,0.406,  0.007,               
P/Invoke: MakePoint                     , 4,  0.436,0.437,0.437,0.436,  0.001,               
P/Invoke: MakePointIndirect             , 4,  3.869,3.869,3.869,3.869,  0.000,               
P/Invoke: NextInt                       , 4,  0.386,0.390,0.390,0.375,  0.008,               
P/Invoke: ReturnBSTR                    , 4,  2.497,2.512,2.528,2.465,  0.029,               
P/Invoke: ReturnString                  , 4,  8.209,8.283,8.315,8.096,  0.106,               
P/Invoke: ReturnWString                 , 4,  1.162,1.154,1.216,1.139,  0.037,               
P/Invoke: WCharStringArgument           , 4,  0.379,0.375,0.390,0.374,  0.008,               
Simple arithmetic: double               ,10,  0.219,0.218,0.219,0.218,  0.001,               
Simple arithmetic: float                ,10,  0.073,0.078,0.078,0.062,  0.008,               
Simple arithmetic: FPI8                 ,10,  0.140,0.141,0.141,0.140,  0.000,               
Simple arithmetic: FPL16                ,10,  0.223,0.218,0.234,0.218,  0.008,               
Simple arithmetic: int                  ,10,  0.027,0.031,0.032,0.015,  0.008,               
Simple arithmetic: long                 ,10,  0.033,0.031,0.047,0.031,  0.005,               
Simple parsing: 1 Read to end (x20)     , 5,  0.050,0.047,0.063,0.047,  0.007,               
Simple parsing: 2 Read lines (x20)      , 5,  0.081,0.078,0.094,0.078,  0.007,               
Simple parsing: 3 Parse (x20)           , 5,  0.137,0.125,0.140,0.125,  0.007,               
Simple parsing: 4 Sort (x20)            , 5,  0.674,0.670,0.687,0.670,  0.007,               
Square root: double                     , 6,  0.070,0.062,0.078,0.062,  0.009,               
Square root: FPL16                      , 6,  1.529,1.545,1.545,1.513,  0.010,               
Square root: uint                       , 6,  0.491,0.500,0.500,0.483,  0.009,               
Square root: ulong                      , 6,  0.484,0.483,0.484,0.483,  0.001,               
