Test name                               , #,Average,First,Max  ,Min  ,Std.Dev,Comment
Big int Dictionary: 1 Adding items      , 8,  0.441,0.437,0.468,0.421,  0.014,               
Big int Dictionary: 2 Running queries   , 8,  0.201,0.203,0.203,0.188,  0.005,75% misses
Big int Dictionary: 3 Removing          , 8,  0.205,0.218,0.218,0.202,  0.005,2500000 removed
Big string Dictionary: 0 Ints to strings, 3,  3.109,3.307,3.307,3.010,  0.171,               
Big string Dictionary: 1 Adding/setting , 3,  4.535,4.758,4.758,4.384,  0.197,               
Big string Dictionary: 2 Running queries, 3,  3.973,4.040,4.040,3.869,  0.091,75% misses
Big string Dictionary: 3 Removing       , 3,  4.009,4.072,4.072,3.946,  0.063,2500000 removed
Generic sum: double                     ,10,  1.254,1.233,1.264,1.232,  0.013,               
Generic sum: FPI8                       ,10,  1.597,1.622,1.622,1.591,  0.011,               
Generic sum: int                        ,10,  0.747,0.780,0.780,0.733,  0.019,               
Generic sum: int via IMath              ,10,  0.852,0.858,0.858,0.842,  0.008,               
Generic sum: int without generics       ,10,  0.474,0.468,0.484,0.468,  0.008,               
P/Invoke: AddDoubles                    , 4,  0.171,0.171,0.172,0.171,  0.000,               
P/Invoke: AddDoublesIndirect            , 4,  2.793,2.886,2.886,2.761,  0.062,               
P/Invoke: AddDoublesIndirect w/o return , 4,  0.156,0.156,0.156,0.156,  0.000,               
P/Invoke: AddFourInts                   , 4,  0.187,0.187,0.188,0.187,  0.000,               
P/Invoke: AddInts                       , 4,  0.160,0.156,0.172,0.156,  0.008,               
P/Invoke: CharStringArgument            , 4,  5.129,5.164,5.164,5.023,  0.070,               
P/Invoke: GetPointY                     , 4,  0.168,0.172,0.172,0.156,  0.008,               
P/Invoke: GetPointYIndirect             , 4,  0.140,0.140,0.141,0.140,  0.000,               
P/Invoke: MakePoint                     , 4,  0.172,0.171,0.172,0.171,  0.001,               
P/Invoke: MakePointIndirect             , 4,  2.738,2.855,2.855,2.683,  0.079,               
P/Invoke: NextInt                       , 4,  0.133,0.141,0.141,0.125,  0.009,               
P/Invoke: ReturnBSTR                    , 4,  3.382,3.838,3.838,3.214,  0.305,               
P/Invoke: ReturnString                  , 4,  5.753,6.318,6.318,5.554,  0.377,               
P/Invoke: ReturnWString                 , 4,  3.596,4.056,4.056,3.432,  0.307,               
P/Invoke: WCharStringArgument           , 4,  0.398,0.421,0.421,0.390,  0.015,               
Simple arithmetic: double               ,10,  0.092,0.094,0.094,0.078,  0.005,               
Simple arithmetic: float                ,10,  0.089,0.078,0.094,0.078,  0.007,               
Simple arithmetic: FPI8                 ,10,  0.278,0.281,0.281,0.265,  0.006,               
Simple arithmetic: FPL16                ,10,  1.083,1.076,1.092,1.076,  0.008,               
Simple arithmetic: int                  ,10,  0.045,0.047,0.047,0.032,  0.005,               
Simple arithmetic: long                 ,10,  0.510,0.499,0.530,0.499,  0.011,               
Simple parsing: 1 Read to end (x20)     , 5,  0.059,0.062,0.063,0.047,  0.007,               
Simple parsing: 2 Read lines (x20)      , 5,  0.203,0.203,0.203,0.203,  0.000,               
Simple parsing: 3 Parse (x20)           , 5,  0.250,0.250,0.250,0.249,  0.000,               
Simple parsing: 4 Sort (x20)            , 5,  5.600,5.585,5.647,5.585,  0.027,               
Square root: double                     , 6,  0.065,0.062,0.078,0.062,  0.006,               
Square root: FPL16                      , 6,  3.853,3.854,3.868,3.838,  0.010,               
Square root: uint                       , 6,  0.603,0.609,0.609,0.593,  0.008,               
Square root: ulong                      , 6,  1.373,1.372,1.373,1.372,  0.001,               
Trivial method calls: Interface NoOp    ,99,  0.029,0.031,0.032,0.015,  0.005,               
Trivial method calls: No-inline NoOp    ,99,  0.025,0.015,0.032,0.015,  0.008,               
Trivial method calls: Static NoOp       ,99,  0.004,0.016,0.016,0.000,  0.007,               
Trivial method calls: Virtual NoOp      ,99,  0.028,0.032,0.032,0.015,  0.007,               
