Test name                               , #,Average,First ,Max   ,Min   ,Std.Dev,Comment
Big int Dictionary: 1 Adding items      , 8,  0.560, 0.562, 0.593, 0.546,  0.018,               
Big int Dictionary: 2 Running queries   , 8,  0.201, 0.202, 0.203, 0.187,  0.005,50% misses
Big int Dictionary: 3 Removing items    , 8,  0.224, 0.219, 0.234, 0.218,  0.008,5000000 removed
Big int sorted map: 1 Adding items      , 5, 47.889,48.782,48.782,47.362,  0.547,               
Big int sorted map: 2 Running queries   , 5,  5.182, 5.148, 5.242, 5.148,  0.039,50% misses
Big int sorted map: 3 Removing items    , 5, 30.726,30.685,30.826,30.576,  0.099,5000000 removed
Big string Dictionary: 0 Ints to strings, 3,  3.058, 3.073, 3.089, 3.011,  0.041,               
Big string Dictionary: 1 Adding/setting , 3,  4.737, 5.132, 5.132, 4.477,  0.348,               
Big string Dictionary: 2 Running queries, 3,  3.983, 3.978, 3.993, 3.978,  0.009,50% misses
Big string Dictionary: 3 Removing items , 3,  4.045, 4.071, 4.071, 4.024,  0.024,5000000 removed
Generic sum: double                     ,10,  1.259, 1.263, 1.295, 1.248,  0.015,               
Generic sum: FPI8                       ,10,  1.571, 1.576, 1.622, 1.544,  0.026,               
Generic sum: int                        ,10,  0.743, 0.749, 0.765, 0.733,  0.011,               
Generic sum: int via IMath              ,10,  0.819, 0.827, 0.827, 0.811,  0.008,               
Generic sum: int without generics       ,10,  0.468, 0.468, 0.468, 0.468,  0.000,               
Matrix multiply: <double>[n][n]         , 5,  9.656, 9.609, 9.781, 9.594,  0.079,-95583583333300
Matrix multiply: <float>[n][n]          , 5, 11.338,11.264,11.434,11.264,  0.062,-9.558359E+13
Matrix multiply: <int>[n][n]            , 5,  5.205, 5.148, 5.258, 5.148,  0.050,      913839180
Matrix multiply: Array2D<double>        , 5, 11.750,11.841,11.841,11.654,  0.087, -95.5835833333
Matrix multiply: double[n*n]            , 5,  3.497, 3.463, 3.619, 3.463,  0.068, -95.5835833333
Matrix multiply: double[n][n]           , 5,  3.629, 3.526, 3.869, 3.510,  0.154, -95.5835833333
Matrix multiply: double[n¸n]            , 5,  8.334, 8.362, 8.362, 8.314,  0.017, -95.5835833333
Matrix multiply: int[n][n]              , 5,  3.841, 3.806, 3.885, 3.806,  0.041,      913839180
P/Invoke: AddDoubles                    , 4,  0.168, 0.172, 0.172, 0.156,  0.008,               
P/Invoke: AddDoublesIndirect            , 4,  2.769, 2.777, 2.777, 2.761,  0.009,               
P/Invoke: AddDoublesIndirect w/o return , 4,  0.167, 0.171, 0.171, 0.156,  0.007,               
P/Invoke: AddFourInts                   , 4,  0.191, 0.187, 0.203, 0.187,  0.008,               
P/Invoke: AddInts                       , 4,  0.160, 0.172, 0.172, 0.156,  0.008,               
P/Invoke: CharStringArgument            , 4,  5.128, 5.132, 5.132, 5.117,  0.008,               
P/Invoke: GetPointY                     , 4,  0.160, 0.156, 0.172, 0.156,  0.008,               
P/Invoke: GetPointYIndirect             , 4,  0.152, 0.140, 0.156, 0.140,  0.008,               
P/Invoke: MakePoint                     , 4,  0.172, 0.172, 0.172, 0.171,  0.000,               
P/Invoke: MakePointIndirect             , 4,  2.703, 2.715, 2.730, 2.683,  0.024,               
P/Invoke: NextInt                       , 4,  0.141, 0.140, 0.141, 0.140,  0.001,               
P/Invoke: ReturnBSTR                    , 4,  3.186, 3.198, 3.198, 3.182,  0.008,               
P/Invoke: ReturnString                  , 4,  5.569, 5.585, 5.585, 5.553,  0.018,               
P/Invoke: ReturnWString                 , 4,  3.311, 3.323, 3.323, 3.291,  0.015,               
P/Invoke: WCharStringArgument           , 4,  0.363, 0.343, 0.375, 0.343,  0.015,               
Polynomials                             , 5, 13.042,13.119,13.167,12.948,  0.099,2.167772E+07
Simple arithmetic: double               , 5,  0.896, 0.905, 0.905, 0.889,  0.009,               
Simple arithmetic: float                , 5,  0.896, 0.920, 0.920, 0.889,  0.014,               
Simple arithmetic: FPI8                 , 5,  2.761, 2.855, 2.855, 2.730,  0.053,               
Simple arithmetic: FPL16                , 5, 10.805,10.889,10.889,10.749,  0.055,               
Simple arithmetic: int                  , 5,  0.437, 0.437, 0.437, 0.436,  0.000,               
Simple arithmetic: long                 , 5,  5.064, 5.101, 5.101, 5.023,  0.031,               
Simple parsing: 1 Read to end (x20)     , 5,  0.062, 0.093, 0.093, 0.046,  0.019,               
Simple parsing: 2 Read lines (x20)      , 5,  0.193, 0.187, 0.203, 0.187,  0.009,               
Simple parsing: 3 Parse (x20)           , 5,  0.244, 0.250, 0.250, 0.234,  0.009,               
Simple parsing: 4 Sort (x20)            , 5,  5.666, 5.616, 5.757, 5.538,  0.091,               
Square root: double                     , 6,  0.062, 0.062, 0.063, 0.062,  0.000,               
Square root: FPL16                      , 6,  3.796, 3.837, 3.837, 3.760,  0.033,               
Square root: uint                       , 6,  0.614, 0.608, 0.624, 0.593,  0.013,               
Square root: ulong                      , 6,  1.563, 1.561, 1.591, 1.529,  0.021,               
Sudoku                                  , 5,  8.643, 8.565, 8.752, 8.564,  0.094,20x100 puzzles
Trivial method calls: Interface NoOp    ,20,  0.271, 0.328, 0.328, 0.250,  0.017,               
Trivial method calls: No-inline NoOp    ,20,  0.249, 0.249, 0.250, 0.234,  0.004,               
Trivial method calls: Static NoOp       ,20,  0.038, 0.031, 0.047, 0.031,  0.008,               
Trivial method calls: Virtual NoOp      ,20,  0.278, 0.281, 0.328, 0.265,  0.014,               
