Test name                               , #,Average,First ,Max   ,Min   ,Std.Dev,Comment
Big int Dictionary: 1 Adding items      , 8,  0.392, 0.406, 0.468, 0.358,  0.036,               
Big int Dictionary: 2 Running queries   , 8,  0.232, 0.250, 0.250, 0.218,  0.010,50% misses
Big int Dictionary: 3 Removing items    , 8,  0.250, 0.234, 0.265, 0.234,  0.012,5000000 removed
Big int sorted map: 1 Adding items      , 5, 14.749,14.228,14.914,14.228,  0.292,               
Big int sorted map: 2 Running queries   , 5,  3.123, 3.135, 3.136, 3.104,  0.013,50% misses
Big int sorted map: 3 Removing items    , 5,  8.655, 9.828, 9.828, 8.253,  0.664,5000000 removed
Big string Dictionary: 0 Ints to strings, 3,  1.217, 1.216, 1.217, 1.216,  0.001,               
Big string Dictionary: 1 Adding/setting , 3,  4.971, 4.852, 5.039, 4.852,  0.104,               
Big string Dictionary: 2 Running queries, 3,  2.148, 2.138, 2.168, 2.138,  0.017,50% misses
Big string Dictionary: 3 Removing items , 3,  2.111, 2.153, 2.153, 2.090,  0.036,5000000 removed
Generic sum: double                     ,10,  0.557, 0.577, 0.577, 0.546,  0.010,               
Generic sum: FPI8                       ,10,  0.682, 0.702, 0.702, 0.670,  0.011,               
Generic sum: int                        ,10,  0.506, 0.515, 0.515, 0.484,  0.011,               
Generic sum: int via IMath              ,10,  0.861, 0.858, 0.889, 0.843,  0.012,               
Generic sum: int without generics       ,10,  0.323, 0.328, 0.328, 0.312,  0.008,               
Matrix multiply: <double>[n][n]         , 5,  5.344, 5.288, 5.506, 5.273,  0.095,-95583583333300
Matrix multiply: <float>[n][n]          , 5,  4.846, 4.961, 4.961, 4.805,  0.068,-9.558359E+13
Matrix multiply: <int>[n][n]            , 5,  5.526, 5.538, 5.554, 5.507,  0.020,      913839180
Matrix multiply: Array2D<double>        , 5,  3.164, 3.198, 3.198, 3.120,  0.034, -95.5835833333
Matrix multiply: double[n*n]            , 5,  2.490, 2.480, 2.574, 2.449,  0.049, -95.5835833333
Matrix multiply: double[n][n]           , 5,  2.490, 2.512, 2.512, 2.449,  0.026, -95.5835833333
Matrix multiply: double[n¸n]            , 5,  2.796, 2.839, 2.839, 2.761,  0.034, -95.5835833333
Matrix multiply: int[n][n]              , 5,  1.598, 1.607, 1.623, 1.576,  0.021,      913839180
P/Invoke: AddDoubles                    , 4,  0.394, 0.405, 0.405, 0.390,  0.007,               
P/Invoke: AddDoublesIndirect            , 4,  4.247, 4.259, 4.275, 4.227,  0.024,               
P/Invoke: AddDoublesIndirect w/o return , 4,  0.421, 0.421, 0.421, 0.421,  0.000,               
P/Invoke: AddFourInts                   , 4,  0.398, 0.390, 0.406, 0.390,  0.009,               
P/Invoke: AddInts                       , 4,  0.394, 0.390, 0.406, 0.390,  0.008,               
P/Invoke: CharStringArgument            , 4,  4.848, 4.867, 4.945, 4.789,  0.074,               
P/Invoke: GetPointY                     , 4,  0.382, 0.374, 0.390, 0.374,  0.009,               
P/Invoke: GetPointYIndirect             , 4,  0.413, 0.421, 0.421, 0.405,  0.009,               
P/Invoke: MakePoint                     , 4,  0.452, 0.452, 0.468, 0.437,  0.013,               
P/Invoke: MakePointIndirect             , 4,  4.310, 4.275, 4.383, 4.243,  0.063,               
P/Invoke: NextInt                       , 4,  0.386, 0.406, 0.406, 0.374,  0.015,               
P/Invoke: ReturnBSTR                    , 4,  2.364, 2.356, 2.403, 2.340,  0.027,               
P/Invoke: ReturnString                  , 4,  7.710, 7.800, 7.800, 7.628,  0.075,               
P/Invoke: ReturnWString                 , 4,  1.081, 1.108, 1.108, 1.061,  0.020,               
P/Invoke: WCharStringArgument           , 4,  0.386, 0.390, 0.390, 0.374,  0.008,               
Polynomials                             , 5,  6.876, 6.848, 6.942, 6.817,  0.050,2.167772E+07
Simple arithmetic: double               , 5,  2.187, 2.200, 2.215, 2.168,  0.021,               
Simple arithmetic: float                , 5,  0.708, 0.718, 0.718, 0.702,  0.009,               
Simple arithmetic: FPI8                 , 5,  1.392, 1.404, 1.420, 1.373,  0.020,               
Simple arithmetic: FPL16                , 5,  2.215, 2.230, 2.230, 2.199,  0.016,               
Simple arithmetic: int                  , 5,  0.287, 0.281, 0.312, 0.281,  0.014,               
Simple arithmetic: long                 , 5,  0.322, 0.328, 0.328, 0.312,  0.009,               
Simple parsing: 1 Read to end (x20)     , 5,  0.047, 0.047, 0.047, 0.046,  0.000,               
Simple parsing: 2 Read lines (x20)      , 5,  0.084, 0.094, 0.094, 0.078,  0.008,               
Simple parsing: 3 Parse (x20)           , 5,  0.134, 0.140, 0.140, 0.125,  0.008,               
Simple parsing: 4 Sort (x20)            , 5,  0.661, 0.701, 0.701, 0.639,  0.026,               
Square root: double                     , 6,  0.070, 0.078, 0.078, 0.062,  0.008,               
Square root: FPL16                      , 6,  1.490, 1.482, 1.498, 1.482,  0.009,               
Square root: uint                       , 6,  0.450, 0.452, 0.453, 0.437,  0.006,               
Square root: ulong                      , 6,  0.492, 0.515, 0.515, 0.483,  0.013,               
Sudoku                                  , 5,  4.933, 4.914, 4.977, 4.914,  0.028,20x100 puzzles
Trivial method calls: Interface NoOp    ,20,  0.263, 0.265, 0.296, 0.249,  0.013,               
Trivial method calls: No-inline NoOp    ,20,  0.242, 0.234, 0.297, 0.234,  0.015,               
Trivial method calls: Static NoOp       ,20,  0.010, 0.016, 0.016, 0.000,  0.008,               
Trivial method calls: Virtual NoOp      ,20,  0.168, 0.171, 0.172, 0.156,  0.006,               
